Species,Common name,Species Taxonomy ID,Taxonomic Lineage,Assembly name,NCBI accession / source,contig N50 (bp),scaffold N50 (bp),reference
Monodon monoceros,narwhal,40151,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Monodon,HLmonMon1,GCA_005190385.2,255327,107566389,human
Mops condylurus,Angolan free-tailed bat,258863,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Molossidae; Mops,HLmopCon1,GCA_043748645.1,56964224,105478936,human
Mormoops blainvillei,Antillean ghost-faced bat,118852,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Mormoopidae; Mormoops,HLmorBla1,GCA_004026545.1,142682,156292,human
Moschus berezovskii,Chinese forest musk deer,68408,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus,HLmosBer1,GCA_006459085.1,57706,2509225,human
Moschus chrysogaster,alpine musk deer,68412,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus,HLmosChr1,GCA_006461725.1,3769,100428,human
Moschus moschiferus,Siberian musk deer,68415,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus,HLmosMos1,GCA_004024705.2,34785,11728851,human
Mungos mungo,banded mongoose,210652,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Herpestidae; Mungos,HLmunMug1,GCA_004023785.1,180702,236501,human
Muntiacus crinifrons,black muntjac,71854,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus,HLmunCri1,GCA_006408485.1,8265,1305444,human
Muntiacus muntjak,muntjak,9888,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus,HLmunMun1,GCA_008782695.1,215534,682452208,human
Muntiacus reevesi,Reeves muntjac,9886,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus,HLmunRee1,GCA_008787405.1,225142,94101870,human
Murina aurata feae,Little tube-nosed bat,1453894,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Murina; Murina aurata,HLmurAurFea1,GCA_004026665.1,23400,26051,human
Mus caroli,Ryukyu mouse,10089,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,HLmusCar1,GCA_900094665.2,30916,122627250,human
Mus musculus,house mouse,10090,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,mm10,GCF_000001635.20,32273079,52589046,human
Mus musculus,house mouse,10090,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,mm39,GCF_000001635.27,59462871,106145001,human
Mus pahari,shrew mouse,10093,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Coelomys,HLmusPah1,GCA_900095145.2,29465,111406228,human
Mus spicilegus,steppe mouse,10103,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,HLmusSpi1,GCA_003336285.1,30918,2198966,human
Mus spretus,western wild mouse,10096,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,HLmusSpr1,GCA_001624865.1,17887,131945496,human
Muscardinus avellanarius,hazel dormouse,39082,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Muscardinus,HLmusAve1,GCA_004027005.1,44294,59013,human
Mustela erminea,ermine,36723,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Mustela,HLmusErm1,GCA_009829155.1,36329944,130149454,human
Mustela putorius,European polecat,9668,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Mustela,HLmusPut1,GCA_902460205.1,5344676,14727874,human
Mustela putorius furo,domestic ferret,9669,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Mustela; Mustela putorius,HLmusFur2,GCA_011764305.1,23598655,23598655,human
Myocastor coypus,nutria,10157,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Myocastoridae; Myocastor,HLmyoCoy1,GCA_004027025.1,28446,35982,human
Myodes glareolus,Bank vole,447135,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Myodes,HLmyoGla2,GCA_902806735.1,74950,20649317,human
Myotis brandtii,Brandts myotis bat,109478,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis,myoBra1,GCF_000412655.1,23289,3225832,human
Myotis davidii,Davids myotis bat,225400,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis,myoDav1,GCF_000327345.1,15182,3454484,human
Myotis lucifugus,little brown bat,59463,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis,HLmyoLuc1,DNA Zoo Consortium,61531,95464383,human
Myotis lucifugus,little brown bat,59463,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis,myoLuc2,GCF_000147115.1,64330,4293315,human
Myotis myotis,greater mouse-eared bat,51298,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis,HLmyoMyo6,GCA_014108235.1,11795106,94448911,human
Myotis septentrionalis,Northern long-eared myotis,258941,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis,HLmyoSep1,DNA Zoo Consortium,205441,96689946,human
Myrmecophaga tridactyla,giant anteater,71006,Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Vermilingua; Myrmecophagidae; Myrmecophaga,HLmyrTri1,GCA_004026745.1,36434,41255,human
Nanger granti,Grants gazelle,27591,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Nanger,HLnanGra1,GCA_006408635.1,7454,528456,human
Nannospalax galili,Upper Galilee mountains blind mole rat,1026970,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Spalacidae; Spalacinae; Nannospalax,nanGal1,GCF_000622305.1,30353,3618479,human
Nasalis larvatus,proboscis monkey,43780,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Nasalis,nasLar1,GCA_000772465.1,13295,137426304,human
Nasua narica,White-nosed coati,352831,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Nasua,HLnasNar1,DNA Zoo Consortium,64078,119764535,human
Neofelis nebulosa,Clouded leopard,61452,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Neofelis,HLneoNeb1,DNA Zoo Consortium,76067,147111411,human
Neomonachus schauinslandi,Hawaiian monk seal,29088,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Neomonachus,neoSch1,GCF_002201575.1,112698,29518589,human
Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise,1706337,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Neophocaena; Neophocaena asiaeorientalis,HLneoAsi1,GCA_003031525.1,86003,6341296,human
Neosciurus carolinensis,gray squirrel,30640,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Sciurinae; Sciurini; Neosciurus,HLneoCar1,GCA_020004445.1,33020,1023051,human
Neotoma lepida,desert woodrat,56216,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Neotoma,HLneoLep1,GCA_001675575.1,9584,151693,human
Neotragus moschatus,suni,66442,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Neotragus,HLneoMos1,GCA_006410615.1,59277,952090,human
Neotragus pygmaeus,royal antelope,1027985,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Neotragus,HLneoPyg1,GCA_006410875.1,30751,363895,human
Neovison vison,American mink,452646,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Neovison,HLneoVis1,GCA_900108605.1,32336,6814223,human
Noctilio leporinus,greater bulldog bat,94963,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Noctilionidae; Noctilio,HLnocLep1,GCA_004026585.1,135651,191494,human
Nomascus leucogenys,northern white-cheeked gibbon,61853,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Nomascus,HLnomLeu4,GCA_006542625.1,12782853,35886894,human
Notamacropus eugenii,tammar wallaby,9315,Mammalia; Theria; Metatheria; Diprotodontia; Macropodidae; Notamacropus,HLnotEug3,DNA Zoo Consortium,42320,387072473,human
Nyctereutes procyonoides,raccoon dog,34880,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Nyctereutes,HLnycPro4,GCA_905146905.1,35077230,53959811,human
Nycticebus bengalensis,Bengal slow loris,261741,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Lorisidae; Nycticebus,HLnycBen1,GCA_023898255.1,19794679,128767214,human
Nycticebus coucang,slow loris,9470,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Lorisidae; Nycticebus,HLnycCou1,GCA_004027815.1,17693,19724,human
Nycticebus coucang,slow loris,9470,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Lorisidae; Nycticebus,HLnycCou2,GCF_027406575.1,41197715,135917784,human
Nycticeius humeralis,evening bat,27670,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Nycticeius,HLnycHum2,GCA_007922795.1,14267,15095,human
Ochotona princeps,American pika,9978,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Ochotonidae; Ochotona,ochPri3,GCF_000292845.1,42347,26863993,human
Octodon degus,degu,10160,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Octodontidae; Octodon,octDeg1,GCF_000260255.1,19847,12091372,human
Odobenus rosmarus,walrus,9707,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Odobenidae; Odobenus,HLodoRos1,DNA Zoo Consortium,85053,154349455,human
Odobenus rosmarus divergens,Pacific walrus,9708,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Odobenidae; Odobenus; Odobenus rosmarus,odoRosDiv1,GCF_000321225.1,89951,2616778,human
Odocoileus hemionus hemionus,mule deer,9877,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus; Odocoileus hemionus,HLodoHem1,GCA_004115125.1,113295,838758,human
Odocoileus virginianus,white-tailed deer,9874,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus,HLodoVir2,DNA Zoo Consortium,114510,69881861,human
Odocoileus virginianus,white-tailed deer,9874,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus,HLodoVir3,GCA_014726795.1,5999512,17102683,human
Odocoileus virginianus texanus,white-tailed deer,9880,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus; Odocoileus virginianus,HLodoVir1,GCA_002102435.1,122019,850721,human
Okapia johnstoni,okapi,86973,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Okapia,HLokaJoh2,DNA Zoo Consortium,36462,97427823,human
Ondatra zibethicus,muskrat,10060,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ondatra,HLondZib1,GCA_004026605.1,73746,89093,human
Onychomys torridus,southern grasshopper mouse,38674,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys,HLonyTor1,GCA_903995425.1,2276141,112723509,human
Orcinus orca,killer whale,9733,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Orcinus,HLorcOrc2,DNA Zoo Consortium,66136,110405485,human
Oreamnos americanus,mountain goat,34873,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Oreamnos,HLoreAme1,GCA_009758055.1,24510,66616962,human
Oreotragus oreotragus,klipspringer,66444,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Oreotragus,HLoreOre1,GCA_006410675.1,42127,339390,human
Ornithorhynchus anatinus,platypus,9258,Mammalia; Prototheria; Monotremata; Ornithorhynchidae; Ornithorhynchus,HLornAna3,GCA_004115215.1,15146802,83338043,human
Ornithorhynchus anatinus,platypus,9258,Mammalia; Prototheria; Monotremata; Ornithorhynchidae; Ornithorhynchus,HLornAna4,GCF_004115215.2,15146802,83338043,human
Orycteropus afer afer,aardvark,1230840,Mammalia; Theria; Eutheria; Afrotheria; Tubulidentata; Orycteropodidae; Orycteropus; Orycteropus afer,HLoryAfeAfe2,DNA Zoo Consortium,11933,644001617,human
Orycteropus afer afer,aardvark,1230840,Mammalia; Theria; Eutheria; Afrotheria; Tubulidentata; Orycteropodidae; Orycteropus; Orycteropus afer,oryAfe1,GCF_000298275.1,17683,7875832,human
Oryctolagus cuniculus,rabbit,9986,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus,HLoryCun3,GCA_009806435.1,506821,506821,human
Oryctolagus cuniculus,rabbit,9986,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus,oryCun2,GCF_000003625.2,64648,35972871,human
Oryctolagus cuniculus cuniculus,rabbit,568996,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus; Oryctolagus cuniculus,HLoryCunCun4,GCA_013371645.1,1879078,140390130,human
Oryx dammah,scimitar-horned oryx,59534,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Hippotraginae; Oryx,HLoryDam1,DNA Zoo Consortium,369170,100398400,human
Oryx gazella,gemsbok,9958,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Hippotraginae; Oryx,HLoryGaz1,GCA_003945745.1,19498,1579191,human
Osphranter rufus,red kangaroo,9321,Mammalia; Theria; Metatheria; Diprotodontia; Macropodidae; Osphranter,HLospRuf1,DNA Zoo Consortium,31685,238280994,human
Otocyon megalotis,bat-eared fox,9624,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Otocyon,HLotoMeg2,DNA Zoo Consortium,616011,68620662,human
Otolemur crassicaudatus,thick-tailed bush baby,9463,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Galagidae; Otolemur,HLotoCra1,DNA Zoo Consortium,73053,91872397,human
Otolemur garnettii,small-eared galago,30611,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Galagidae; Otolemur,otoGar3,GCF_000181295.1,27100,13852661,human
Ovis ammon,argali,30527,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis,HLoviAmm1,GCA_003121645.1,151569,72289505,human
Ovis aries,sheep,9940,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis,HLoviAri5,GCA_011170295.1,8699377,103700880,human
Ovis canadensis,bighorn sheep,37174,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis,HLoviCan2,GCA_004026945.1,55973,69397,human
Ovis canadensis canadensis,bighorn sheep,112262,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis; Ovis canadensis,HLoviCan1,GCA_001039535.1,8067,100190483,human
Ovis nivicola lydekkeri,snow sheep,1867112,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis; Ovis nivicola,HLoviNivLyd1,GCA_903231385.1,1765443,2011554,human
Ovis orientalis,Asiatic mouflon,469796,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis,HLoviOri1,GCA_014523465.1,42163491,103690580,human
Pachyuromys duprasi,fat-tailed gerbil,298894,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Pachyuromys,HLpacDup1,DNA Zoo Consortium,47150,70283636,human
Pan paniscus,pygmy chimpanzee,9597,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan,HLpanPan4,GCA_029289425.3,147028407,147028407,human
Pan paniscus,pygmy chimpanzee,9597,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan,panPan3,GCF_013052645.1,16579680,68246502,human
Pan troglodytes,chimpanzee,9598,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan,HLpanTro7,GCA_028858775.2,146288486,146288486,human
Pan troglodytes,chimpanzee,9598,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan,panTro6,GCF_002880755.1,12268567,53103722,human
Panthera leo,lion,9689,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera,HLpanLeo1,GCA_008795835.1,286703,136051765,human
Panthera onca,jaguar,9690,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera,HLpanOnc1,GCA_004023805.1,62836,116574,human
Panthera onca,jaguar,9690,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera,HLpanOnc2,DNA Zoo Consortium,50688,132627732,human
Panthera pardus,leopard,9691,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera,HLpanPar1,GCA_001857705.1,20993,21701857,human
Panthera tigris altaica,Amur tiger,74533,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera; Panthera tigris,panTig1,GCF_000464555.1,30032,8860407,human
Panthera uncia,snow leopard,29064,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera,HLpanUnc1,DNA Zoo Consortium,64649,141103905,human
Pantholops hodgsonii,chiru,59538,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Pantholops,panHod1,GCF_000400835.1,18674,2772860,human
Papio anubis,olive baboon,9555,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Papio,HLpapAnu5,GCA_008728515.1,1464978,140274886,human
Papio hamadryas,hamadryas baboon,9557,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Papio,HLpapHam2,GCA_023781915.1,24989958,24989958,human
Papio papio,Guinea baboon,100937,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Papio,HLpapPap1,DNA Zoo Consortium,44495,116598389,human
Paradoxurus hermaphroditus,Asian palm civet,71117,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Viverridae; Paradoxurinae; Paradoxurus,HLparHer1,GCA_004024585.1,62870,71823,human
Pedetes capensis,springhare,10023,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Anomaluromorpha; Pedetidae; Pedetes,HLpedCap1,GCA_007922755.1,54009,74432,human
Peponocephala electra,melon-headed whale,103596,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Peponocephala,HLpepEle1,DNA Zoo Consortium,84444,102795557,human
Perognathus longimembris pacificus,Pacific pocket mouse,214514,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Perognathinae; Perognathus; Perognathus longimembris,HLperLonPac1,GCA_004363475.1,17686,24714,human
Perognathus longimembris pacificus,Pacific pocket mouse,214514,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Perognathinae; Perognathus; Perognathus longimembris,HLperLonPac2,GCF_023159225.1,7389774,72679016,human
Peromyscus californicus insignis,California mouse,564181,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus; Peromyscus californicus,HLperCal2,GCA_007827085.2,32644,113663737,human
Peromyscus crinitus,canyon mouse,144753,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus,HLperCri1,DNA Zoo Consortium,138137,97468232,human
Peromyscus eremicus,cactus mouse,42410,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus,HLperEre1,GCA_902702925.1,64291,119957392,human
Peromyscus leucopus,white-footed mouse,10041,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus,HLperLeu1,GCA_004664715.1,4102727,4476954,human
Peromyscus maniculatus bairdii,prairie deer mouse,230844,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus; Peromyscus maniculatus,HLperManBai2,GCA_003704035.1,30111,115033041,human
Peromyscus nasutus,northern rock mouse,97212,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus,HLperNas1,DNA Zoo Consortium,19865,98054690,human
Peromyscus polionotus subgriseus,oldfield mouse,369710,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus; Peromyscus polionotus,HLperPol1,GCA_003704135.2,13217,117603569,human
Petromus typicus,dassie-rat,10183,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Petromuridae; Petromus,HLpetTyp1,GCA_004026965.1,29916,35766,human
Phalanger gymnotis,ground cuscus,65615,Mammalia; Theria; Metatheria; Diprotodontia; Phalangeridae; Phalanger,HLphaGym1,DNA Zoo Consortium,27735,353051754,human
Phascolarctos cinereus,koala,38626,Mammalia; Theria; Metatheria; Diprotodontia; Phascolarctidae; Phascolarctos,HLphaCin1,GCA_002099425.1,11587828,11587828,human
Phataginus tricuspis,Tree pangolin,358128,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Phataginus,HLphaTri2,DNA Zoo Consortium,110271,46351422,human
Philantomba maxwellii,Maxwells duiker,907741,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Cephalophinae; Philantomba,HLphiMax1,GCA_006410695.1,11377,383899,human
Phoca largha,spotted seal,39090,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Phoca,HLphoLar1,DNA Zoo Consortium,55127,142074308,human
Phoca vitulina,harbor seal,9720,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Phoca,HLphoVit1,GCA_004348235.1,283887,41024070,human
Phocoena phocoena,harbor porpoise,9742,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena,HLphoPho1,GCA_004363495.1,89111,115969,human
