GenBank	RefSeq	UCSC	Ensembl	Gencode
AAEX03024126.1	NW_003727600.1	chrUn_AAEX03024126	AAEX03024126.1	AAEX03024126.1
AAEX03024129.1	NW_003727602.1	chrUn_AAEX03024129	AAEX03024129.1	AAEX03024129.1
AAEX03024130.1	NW_003727603.1	chrUn_AAEX03024130	AAEX03024130.1	AAEX03024130.1
AAEX03024131.1	NW_003727604.1	chrUn_AAEX03024131	AAEX03024131.1	AAEX03024131.1
AAEX03024132.1	NW_003727605.1	chrUn_AAEX03024132	AAEX03024132.1	AAEX03024132.1
AAEX03024133.1	NW_003727606.1	chrUn_AAEX03024133	AAEX03024133.1	AAEX03024133.1
AAEX03024134.1	NW_003727607.1	chrUn_AAEX03024134	AAEX03024134.1	AAEX03024134.1
AAEX03024137.1	NW_003727609.1	chrUn_AAEX03024137	AAEX03024137.1	AAEX03024137.1
AAEX03024138.1	NW_003727610.1	chrUn_AAEX03024138	AAEX03024138.1	AAEX03024138.1
AAEX03024143.1	NW_003727612.1	chrUn_AAEX03024143	AAEX03024143.1	AAEX03024143.1
AAEX03024144.1	NW_003727613.1	chrUn_AAEX03024144	AAEX03024144.1	AAEX03024144.1
AAEX03024149.1	NW_003727615.1	chrUn_AAEX03024149	AAEX03024149.1	AAEX03024149.1
AAEX03024150.1	NW_003727616.1	chrUn_AAEX03024150	AAEX03024150.1	AAEX03024150.1
AAEX03024151.1	NW_003727617.1	chrUn_AAEX03024151	AAEX03024151.1	AAEX03024151.1
AAEX03024155.1	NW_003727619.1	chrUn_AAEX03024155	AAEX03024155.1	AAEX03024155.1
AAEX03024161.1	NW_003727622.1	chrUn_AAEX03024161	AAEX03024161.1	AAEX03024161.1
AAEX03024162.1	NW_003727623.1	chrUn_AAEX03024162	AAEX03024162.1	AAEX03024162.1
AAEX03024163.1	NW_003727624.1	chrUn_AAEX03024163	AAEX03024163.1	AAEX03024163.1
AAEX03024164.1	NW_003727625.1	chrUn_AAEX03024164	AAEX03024164.1	AAEX03024164.1
AAEX03024165.1	NW_003727626.1	chrUn_AAEX03024165	AAEX03024165.1	AAEX03024165.1
AAEX03024166.1	NW_003727627.1	chrUn_AAEX03024166	AAEX03024166.1	AAEX03024166.1
AAEX03024167.1	NW_003727628.1	chrUn_AAEX03024167	AAEX03024167.1	AAEX03024167.1
AAEX03024174.1	NW_003727631.1	chrUn_AAEX03024174	AAEX03024174.1	AAEX03024174.1
AAEX03024177.1	NW_003727633.1	chrUn_AAEX03024177	AAEX03024177.1	AAEX03024177.1
AAEX03024181.1	NW_003727635.1	chrUn_AAEX03024181	AAEX03024181.1	AAEX03024181.1
AAEX03024182.1	NW_003727636.1	chrUn_AAEX03024182	AAEX03024182.1	AAEX03024182.1
AAEX03024183.1	NW_003727637.1	chrUn_AAEX03024183	AAEX03024183.1	AAEX03024183.1
AAEX03024184.1	NW_003727638.1	chrUn_AAEX03024184	AAEX03024184.1	AAEX03024184.1
AAEX03024185.1	NW_003727639.1	chrUn_AAEX03024185	AAEX03024185.1	AAEX03024185.1
AAEX03024186.1	NW_003727640.1	chrUn_AAEX03024186	AAEX03024186.1	AAEX03024186.1
AAEX03024187.1	NW_003727641.1	chrUn_AAEX03024187	AAEX03024187.1	AAEX03024187.1
AAEX03024188.1	NW_003727642.1	chrUn_AAEX03024188	AAEX03024188.1	AAEX03024188.1
AAEX03024189.1	NW_003727643.1	chrUn_AAEX03024189	AAEX03024189.1	AAEX03024189.1
AAEX03024193.1	NW_003727645.1	chrUn_AAEX03024193	AAEX03024193.1	AAEX03024193.1
AAEX03024194.1	NW_003727646.1	chrUn_AAEX03024194	AAEX03024194.1	AAEX03024194.1
AAEX03024201.1	NW_003727649.1	chrUn_AAEX03024201	AAEX03024201.1	AAEX03024201.1
AAEX03024202.1	NW_003727650.1	chrUn_AAEX03024202	AAEX03024202.1	AAEX03024202.1
AAEX03024203.1	NW_003727651.1	chrUn_AAEX03024203	AAEX03024203.1	AAEX03024203.1
AAEX03024204.1	NW_003727652.1	chrUn_AAEX03024204	AAEX03024204.1	AAEX03024204.1
AAEX03024205.1	NW_003727653.1	chrUn_AAEX03024205	AAEX03024205.1	AAEX03024205.1
AAEX03024206.1	NW_003727654.1	chrUn_AAEX03024206	AAEX03024206.1	AAEX03024206.1
AAEX03024207.1	NW_003727655.1	chrUn_AAEX03024207	AAEX03024207.1	AAEX03024207.1
AAEX03024208.1	NW_003727656.1	chrUn_AAEX03024208	AAEX03024208.1	AAEX03024208.1
AAEX03024209.1	NW_003727657.1	chrUn_AAEX03024209	AAEX03024209.1	AAEX03024209.1
AAEX03024210.1	NW_003727658.1	chrUn_AAEX03024210	AAEX03024210.1	AAEX03024210.1
AAEX03024218.1	NW_003727661.1	chrUn_AAEX03024218	AAEX03024218.1	AAEX03024218.1
AAEX03024219.1	NW_003727662.1	chrUn_AAEX03024219	AAEX03024219.1	AAEX03024219.1
AAEX03024220.1	NW_003727663.1	chrUn_AAEX03024220	AAEX03024220.1	AAEX03024220.1
AAEX03024224.1	NW_003727665.1	chrUn_AAEX03024224	AAEX03024224.1	AAEX03024224.1
AAEX03024225.1	NW_003727666.1	chrUn_AAEX03024225	AAEX03024225.1	AAEX03024225.1
AAEX03024226.1	NW_003727667.1	chrUn_AAEX03024226	AAEX03024226.1	AAEX03024226.1
AAEX03024227.1	NW_003727668.1	chrUn_AAEX03024227	AAEX03024227.1	AAEX03024227.1
AAEX03024228.1	NW_003727669.1	chrUn_AAEX03024228	AAEX03024228.1	AAEX03024228.1
AAEX03024235.1	NW_003727671.1	chrUn_AAEX03024235	AAEX03024235.1	AAEX03024235.1
AAEX03024239.1	NW_003727673.1	chrUn_AAEX03024239	AAEX03024239.1	AAEX03024239.1
AAEX03024243.1	NW_003727675.1	chrUn_AAEX03024243	AAEX03024243.1	AAEX03024243.1
AAEX03024244.1	NW_003727676.1	chrUn_AAEX03024244	AAEX03024244.1	AAEX03024244.1
AAEX03024245.1	NW_003727677.1	chrUn_AAEX03024245	AAEX03024245.1	AAEX03024245.1
AAEX03024246.1	NW_003727678.1	chrUn_AAEX03024246	AAEX03024246.1	AAEX03024246.1
AAEX03024247.1	NW_003727679.1	chrUn_AAEX03024247	AAEX03024247.1	AAEX03024247.1
AAEX03024248.1	NW_003727680.1	chrUn_AAEX03024248	AAEX03024248.1	AAEX03024248.1
AAEX03024249.1	NW_003727681.1	chrUn_AAEX03024249	AAEX03024249.1	AAEX03024249.1
AAEX03024257.1	NW_003727684.1	chrUn_AAEX03024257	AAEX03024257.1	AAEX03024257.1
AAEX03024258.1	NW_003727685.1	chrUn_AAEX03024258	AAEX03024258.1	AAEX03024258.1
AAEX03024259.1	NW_003727686.1	chrUn_AAEX03024259	AAEX03024259.1	AAEX03024259.1
AAEX03024260.1	NW_003727687.1	chrUn_AAEX03024260	AAEX03024260.1	AAEX03024260.1
AAEX03024261.1	NW_003727688.1	chrUn_AAEX03024261	AAEX03024261.1	AAEX03024261.1
AAEX03024262.1	NW_003727689.1	chrUn_AAEX03024262	AAEX03024262.1	AAEX03024262.1
AAEX03024267.1	NW_003727691.1	chrUn_AAEX03024267	AAEX03024267.1	AAEX03024267.1
AAEX03024268.1	NW_003727692.1	chrUn_AAEX03024268	AAEX03024268.1	AAEX03024268.1
AAEX03024269.1	NW_003727693.1	chrUn_AAEX03024269	AAEX03024269.1	AAEX03024269.1
AAEX03024270.1	NW_003727694.1	chrUn_AAEX03024270	AAEX03024270.1	AAEX03024270.1
AAEX03024271.1	NW_003727695.1	chrUn_AAEX03024271	AAEX03024271.1	AAEX03024271.1
AAEX03024272.1	NW_003727696.1	chrUn_AAEX03024272	AAEX03024272.1	AAEX03024272.1
AAEX03024273.1	NW_003727697.1	chrUn_AAEX03024273	AAEX03024273.1	AAEX03024273.1
AAEX03024274.1	NW_003727698.1	chrUn_AAEX03024274	AAEX03024274.1	AAEX03024274.1
AAEX03024277.1	NW_003727700.1	chrUn_AAEX03024277	AAEX03024277.1	AAEX03024277.1
AAEX03024278.1	NW_003727701.1	chrUn_AAEX03024278	AAEX03024278.1	AAEX03024278.1
AAEX03024279.1	NW_003727702.1	chrUn_AAEX03024279	AAEX03024279.1	AAEX03024279.1
AAEX03024283.1	NW_003727704.1	chrUn_AAEX03024283	AAEX03024283.1	AAEX03024283.1
AAEX03024284.1	NW_003727705.1	chrUn_AAEX03024284	AAEX03024284.1	AAEX03024284.1
AAEX03024285.1	NW_003727706.1	chrUn_AAEX03024285	AAEX03024285.1	AAEX03024285.1
AAEX03024289.1	NW_003727708.1	chrUn_AAEX03024289	AAEX03024289.1	AAEX03024289.1
AAEX03024296.1	NW_003727711.1	chrUn_AAEX03024296	AAEX03024296.1	AAEX03024296.1
AAEX03024297.1	NW_003727712.1	chrUn_AAEX03024297	AAEX03024297.1	AAEX03024297.1
AAEX03024298.1	NW_003727713.1	chrUn_AAEX03024298	AAEX03024298.1	AAEX03024298.1
AAEX03024299.1	NW_003727714.1	chrUn_AAEX03024299	AAEX03024299.1	AAEX03024299.1
AAEX03024300.1	NW_003727715.1	chrUn_AAEX03024300	AAEX03024300.1	AAEX03024300.1
AAEX03024301.1	NW_003727716.1	chrUn_AAEX03024301	AAEX03024301.1	AAEX03024301.1
AAEX03024302.1	NW_003727717.1	chrUn_AAEX03024302	AAEX03024302.1	AAEX03024302.1
AAEX03024305.1	NW_003727719.1	chrUn_AAEX03024305	AAEX03024305.1	AAEX03024305.1
AAEX03024306.1	NW_003727720.1	chrUn_AAEX03024306	AAEX03024306.1	AAEX03024306.1
AAEX03024307.1	NW_003727721.1	chrUn_AAEX03024307	AAEX03024307.1	AAEX03024307.1
AAEX03024308.1	NW_003727722.1	chrUn_AAEX03024308	AAEX03024308.1	AAEX03024308.1
AAEX03024309.1	NW_003727723.1	chrUn_AAEX03024309	AAEX03024309.1	AAEX03024309.1
AAEX03024314.1	NW_003727725.1	chrUn_AAEX03024314	AAEX03024314.1	AAEX03024314.1
AAEX03024315.1	NW_003727726.1	chrUn_AAEX03024315	AAEX03024315.1	AAEX03024315.1
AAEX03024316.1	NW_003727727.1	chrUn_AAEX03024316	AAEX03024316.1	AAEX03024316.1
AAEX03024317.1	NW_003727728.1	chrUn_AAEX03024317	AAEX03024317.1	AAEX03024317.1
AAEX03024318.1	NW_003727729.1	chrUn_AAEX03024318	AAEX03024318.1	AAEX03024318.1
AAEX03024319.1	NW_003727730.1	chrUn_AAEX03024319	AAEX03024319.1	AAEX03024319.1
AAEX03024323.1	NW_003727732.1	chrUn_AAEX03024323	AAEX03024323.1	AAEX03024323.1
AAEX03024324.1	NW_003727733.1	chrUn_AAEX03024324	AAEX03024324.1	AAEX03024324.1
AAEX03024325.1	NW_003727734.1	chrUn_AAEX03024325	AAEX03024325.1	AAEX03024325.1
AAEX03024326.1	NW_003727735.1	chrUn_AAEX03024326	AAEX03024326.1	AAEX03024326.1
AAEX03024331.1	NW_003727737.1	chrUn_AAEX03024331	AAEX03024331.1	AAEX03024331.1
AAEX03024332.1	NW_003727738.1	chrUn_AAEX03024332	AAEX03024332.1	AAEX03024332.1
AAEX03024333.1	NW_003727739.1	chrUn_AAEX03024333	AAEX03024333.1	AAEX03024333.1
AAEX03024334.1	NW_003727740.1	chrUn_AAEX03024334	AAEX03024334.1	AAEX03024334.1
AAEX03024335.1	NW_003727741.1	chrUn_AAEX03024335	AAEX03024335.1	AAEX03024335.1
AAEX03024336.1	NW_003727742.1	chrUn_AAEX03024336	AAEX03024336.1	AAEX03024336.1
AAEX03024337.1	NW_003727743.1	chrUn_AAEX03024337	AAEX03024337.1	AAEX03024337.1
AAEX03024340.1	NW_003727745.1	chrUn_AAEX03024340	AAEX03024340.1	AAEX03024340.1
AAEX03024341.1	NW_003727746.1	chrUn_AAEX03024341	AAEX03024341.1	AAEX03024341.1
AAEX03024342.1	NW_003727747.1	chrUn_AAEX03024342	AAEX03024342.1	AAEX03024342.1
AAEX03024343.1	NW_003727748.1	chrUn_AAEX03024343	AAEX03024343.1	AAEX03024343.1
AAEX03024349.1	NW_003727750.1	chrUn_AAEX03024349	AAEX03024349.1	AAEX03024349.1
AAEX03024350.1	NW_003727751.1	chrUn_AAEX03024350	AAEX03024350.1	AAEX03024350.1
AAEX03024351.1	NW_003727752.1	chrUn_AAEX03024351	AAEX03024351.1	AAEX03024351.1
AAEX03024352.1	NW_003727753.1	chrUn_AAEX03024352	AAEX03024352.1	AAEX03024352.1
AAEX03024353.1	NW_003727754.1	chrUn_AAEX03024353	AAEX03024353.1	AAEX03024353.1
AAEX03024354.1	NW_003727755.1	chrUn_AAEX03024354	AAEX03024354.1	AAEX03024354.1
AAEX03024355.1	NW_003727756.1	chrUn_AAEX03024355	AAEX03024355.1	AAEX03024355.1
AAEX03024356.1	NW_003727757.1	chrUn_AAEX03024356	AAEX03024356.1	AAEX03024356.1
AAEX03024357.1	NW_003727758.1	chrUn_AAEX03024357	AAEX03024357.1	AAEX03024357.1
AAEX03024358.1	NW_003727759.1	chrUn_AAEX03024358	AAEX03024358.1	AAEX03024358.1
AAEX03024359.1	NW_003727760.1	chrUn_AAEX03024359	AAEX03024359.1	AAEX03024359.1
AAEX03024360.1	NW_003727761.1	chrUn_AAEX03024360	AAEX03024360.1	AAEX03024360.1
AAEX03024361.1	NW_003727762.1	chrUn_AAEX03024361	AAEX03024361.1	AAEX03024361.1
AAEX03024362.1	NW_003727763.1	chrUn_AAEX03024362	AAEX03024362.1	AAEX03024362.1
AAEX03024363.1	NW_003727764.1	chrUn_AAEX03024363	AAEX03024363.1	AAEX03024363.1
AAEX03024364.1	NW_003727765.1	chrUn_AAEX03024364	AAEX03024364.1	AAEX03024364.1
AAEX03024369.1	NW_003727767.1	chrUn_AAEX03024369	AAEX03024369.1	AAEX03024369.1
AAEX03024370.1	NW_003727768.1	chrUn_AAEX03024370	AAEX03024370.1	AAEX03024370.1
AAEX03024371.1	NW_003727769.1	chrUn_AAEX03024371	AAEX03024371.1	AAEX03024371.1
AAEX03024375.1	NW_003727771.1	chrUn_AAEX03024375	AAEX03024375.1	AAEX03024375.1
AAEX03024376.1	NW_003727772.1	chrUn_AAEX03024376	AAEX03024376.1	AAEX03024376.1
AAEX03024377.1	NW_003727773.1	chrUn_AAEX03024377	AAEX03024377.1	AAEX03024377.1
AAEX03024378.1	NW_003727774.1	chrUn_AAEX03024378	AAEX03024378.1	AAEX03024378.1
AAEX03024379.1	NW_003727775.1	chrUn_AAEX03024379	AAEX03024379.1	AAEX03024379.1
AAEX03024389.1	NW_003727779.1	chrUn_AAEX03024389	AAEX03024389.1	AAEX03024389.1
AAEX03024390.1	NW_003727780.1	chrUn_AAEX03024390	AAEX03024390.1	AAEX03024390.1
AAEX03024391.1	NW_003727781.1	chrUn_AAEX03024391	AAEX03024391.1	AAEX03024391.1
AAEX03024392.1	NW_003727782.1	chrUn_AAEX03024392	AAEX03024392.1	AAEX03024392.1
AAEX03024393.1	NW_003727783.1	chrUn_AAEX03024393	AAEX03024393.1	AAEX03024393.1
AAEX03024394.1	NW_003727784.1	chrUn_AAEX03024394	AAEX03024394.1	AAEX03024394.1
AAEX03024399.1	NW_003727786.1	chrUn_AAEX03024399	AAEX03024399.1	AAEX03024399.1
AAEX03024400.1	NW_003727787.1	chrUn_AAEX03024400	AAEX03024400.1	AAEX03024400.1
AAEX03024401.1	NW_003727788.1	chrUn_AAEX03024401	AAEX03024401.1	AAEX03024401.1
AAEX03024402.1	NW_003727789.1	chrUn_AAEX03024402	AAEX03024402.1	AAEX03024402.1
AAEX03024403.1	NW_003727790.1	chrUn_AAEX03024403	AAEX03024403.1	AAEX03024403.1
AAEX03024404.1	NW_003727791.1	chrUn_AAEX03024404	AAEX03024404.1	AAEX03024404.1
AAEX03024407.1	NW_003727793.1	chrUn_AAEX03024407	AAEX03024407.1	AAEX03024407.1
AAEX03024411.1	NW_003727795.1	chrUn_AAEX03024411	AAEX03024411.1	AAEX03024411.1
AAEX03024412.1	NW_003727796.1	chrUn_AAEX03024412	AAEX03024412.1	AAEX03024412.1
AAEX03024413.1	NW_003727797.1	chrUn_AAEX03024413	AAEX03024413.1	AAEX03024413.1
AAEX03024414.1	NW_003727798.1	chrUn_AAEX03024414	AAEX03024414.1	AAEX03024414.1
AAEX03024415.1	NW_003727799.1	chrUn_AAEX03024415	AAEX03024415.1	AAEX03024415.1
AAEX03024416.1	NW_003727800.1	chrUn_AAEX03024416	AAEX03024416.1	AAEX03024416.1
AAEX03024417.1	NW_003727801.1	chrUn_AAEX03024417	AAEX03024417.1	AAEX03024417.1
AAEX03024418.1	NW_003727802.1	chrUn_AAEX03024418	AAEX03024418.1	AAEX03024418.1
AAEX03024419.1	NW_003727803.1	chrUn_AAEX03024419	AAEX03024419.1	AAEX03024419.1
AAEX03024420.1	NW_003727804.1	chrUn_AAEX03024420	AAEX03024420.1	AAEX03024420.1
AAEX03024421.1	NW_003727805.1	chrUn_AAEX03024421	AAEX03024421.1	AAEX03024421.1
AAEX03024422.1	NW_003727806.1	chrUn_AAEX03024422	AAEX03024422.1	AAEX03024422.1
AAEX03024423.1	NW_003727807.1	chrUn_AAEX03024423	AAEX03024423.1	AAEX03024423.1
AAEX03024424.1	NW_003727808.1	chrUn_AAEX03024424	AAEX03024424.1	AAEX03024424.1
AAEX03024425.1	NW_003727809.1	chrUn_AAEX03024425	AAEX03024425.1	AAEX03024425.1
AAEX03024426.1	NW_003727810.1	chrUn_AAEX03024426	AAEX03024426.1	AAEX03024426.1
AAEX03024431.1	NW_003727812.1	chrUn_AAEX03024431	AAEX03024431.1	AAEX03024431.1
AAEX03024432.1	NW_003727813.1	chrUn_AAEX03024432	AAEX03024432.1	AAEX03024432.1
AAEX03024433.1	NW_003727814.1	chrUn_AAEX03024433	AAEX03024433.1	AAEX03024433.1
AAEX03024434.1	NW_003727815.1	chrUn_AAEX03024434	AAEX03024434.1	AAEX03024434.1
AAEX03024438.1	NW_003727817.1	chrUn_AAEX03024438	AAEX03024438.1	AAEX03024438.1
AAEX03024439.1	NW_003727818.1	chrUn_AAEX03024439	AAEX03024439.1	AAEX03024439.1
AAEX03024440.1	NW_003727819.1	chrUn_AAEX03024440	AAEX03024440.1	AAEX03024440.1
AAEX03024443.1	NW_003727821.1	chrUn_AAEX03024443	AAEX03024443.1	AAEX03024443.1
AAEX03024444.1	NW_003727822.1	chrUn_AAEX03024444	AAEX03024444.1	AAEX03024444.1
AAEX03024445.1	NW_003727823.1	chrUn_AAEX03024445	AAEX03024445.1	AAEX03024445.1
AAEX03024446.1	NW_003727824.1	chrUn_AAEX03024446	AAEX03024446.1	AAEX03024446.1
AAEX03024447.1	NW_003727825.1	chrUn_AAEX03024447	AAEX03024447.1	AAEX03024447.1
AAEX03024448.1	NW_003727826.1	chrUn_AAEX03024448	AAEX03024448.1	AAEX03024448.1
AAEX03024449.1	NW_003727827.1	chrUn_AAEX03024449	AAEX03024449.1	AAEX03024449.1
AAEX03024450.1	NW_003727828.1	chrUn_AAEX03024450	AAEX03024450.1	AAEX03024450.1
AAEX03024451.1	NW_003727829.1	chrUn_AAEX03024451	AAEX03024451.1	AAEX03024451.1
AAEX03024452.1	NW_003727830.1	chrUn_AAEX03024452	AAEX03024452.1	AAEX03024452.1
AAEX03024457.1	NW_003727832.1	chrUn_AAEX03024457	AAEX03024457.1	AAEX03024457.1
AAEX03024460.1	NW_003727834.1	chrUn_AAEX03024460	AAEX03024460.1	AAEX03024460.1
AAEX03024461.1	NW_003727835.1	chrUn_AAEX03024461	AAEX03024461.1	AAEX03024461.1
AAEX03024462.1	NW_003727836.1	chrUn_AAEX03024462	AAEX03024462.1	AAEX03024462.1
AAEX03024463.1	NW_003727837.1	chrUn_AAEX03024463	AAEX03024463.1	AAEX03024463.1
AAEX03024464.1	NW_003727838.1	chrUn_AAEX03024464	AAEX03024464.1	AAEX03024464.1
AAEX03024465.1	NW_003727839.1	chrUn_AAEX03024465	AAEX03024465.1	AAEX03024465.1
AAEX03024466.1	NW_003727840.1	chrUn_AAEX03024466	AAEX03024466.1	AAEX03024466.1
AAEX03024467.1	NW_003727841.1	chrUn_AAEX03024467	AAEX03024467.1	AAEX03024467.1
AAEX03024468.1	NW_003727842.1	chrUn_AAEX03024468	AAEX03024468.1	AAEX03024468.1
AAEX03024469.1	NW_003727843.1	chrUn_AAEX03024469	AAEX03024469.1	AAEX03024469.1
AAEX03024470.1	NW_003727844.1	chrUn_AAEX03024470	AAEX03024470.1	AAEX03024470.1
AAEX03024471.1	NW_003727845.1	chrUn_AAEX03024471	AAEX03024471.1	AAEX03024471.1
AAEX03024472.1	NW_003727846.1	chrUn_AAEX03024472	AAEX03024472.1	AAEX03024472.1
AAEX03024473.1	NW_003727847.1	chrUn_AAEX03024473	AAEX03024473.1	AAEX03024473.1
AAEX03024474.1	NW_003727848.1	chrUn_AAEX03024474	AAEX03024474.1	AAEX03024474.1
AAEX03024475.1	NW_003727849.1	chrUn_AAEX03024475	AAEX03024475.1	AAEX03024475.1
AAEX03024476.1	NW_003727850.1	chrUn_AAEX03024476	AAEX03024476.1	AAEX03024476.1
AAEX03024477.1	NW_003727851.1	chrUn_AAEX03024477	AAEX03024477.1	AAEX03024477.1
AAEX03024478.1	NW_003727852.1	chrUn_AAEX03024478	AAEX03024478.1	AAEX03024478.1
AAEX03024479.1	NW_003727853.1	chrUn_AAEX03024479	AAEX03024479.1	AAEX03024479.1
AAEX03024480.1	NW_003727854.1	chrUn_AAEX03024480	AAEX03024480.1	AAEX03024480.1
AAEX03024481.1	NW_003727855.1	chrUn_AAEX03024481	AAEX03024481.1	AAEX03024481.1
AAEX03024482.1	NW_003727856.1	chrUn_AAEX03024482	AAEX03024482.1	AAEX03024482.1
AAEX03024485.1	NW_003727858.1	chrUn_AAEX03024485	AAEX03024485.1	AAEX03024485.1
AAEX03024486.1	NW_003727859.1	chrUn_AAEX03024486	AAEX03024486.1	AAEX03024486.1
AAEX03024487.1	NW_003727860.1	chrUn_AAEX03024487	AAEX03024487.1	AAEX03024487.1
AAEX03024488.1	NW_003727861.1	chrUn_AAEX03024488	AAEX03024488.1	AAEX03024488.1
AAEX03024489.1	NW_003727862.1	chrUn_AAEX03024489	AAEX03024489.1	AAEX03024489.1
AAEX03024490.1	NW_003727863.1	chrUn_AAEX03024490	AAEX03024490.1	AAEX03024490.1
AAEX03024491.1	NW_003727864.1	chrUn_AAEX03024491	AAEX03024491.1	AAEX03024491.1
AAEX03024492.1	NW_003727865.1	chrUn_AAEX03024492	AAEX03024492.1	AAEX03024492.1
AAEX03024493.1	NW_003727866.1	chrUn_AAEX03024493	AAEX03024493.1	AAEX03024493.1
AAEX03024494.1	NW_003727867.1	chrUn_AAEX03024494	AAEX03024494.1	AAEX03024494.1
AAEX03024495.1	NW_003727868.1	chrUn_AAEX03024495	AAEX03024495.1	AAEX03024495.1
AAEX03024496.1	NW_003727869.1	chrUn_AAEX03024496	AAEX03024496.1	AAEX03024496.1
AAEX03024499.1	NW_003727871.1	chrUn_AAEX03024499	AAEX03024499.1	AAEX03024499.1
AAEX03024500.1	NW_003727872.1	chrUn_AAEX03024500	AAEX03024500.1	AAEX03024500.1
AAEX03024501.1	NW_003727873.1	chrUn_AAEX03024501	AAEX03024501.1	AAEX03024501.1
AAEX03024502.1	NW_003727874.1	chrUn_AAEX03024502	AAEX03024502.1	AAEX03024502.1
AAEX03024503.1	NW_003727875.1	chrUn_AAEX03024503	AAEX03024503.1	AAEX03024503.1
AAEX03024504.1	NW_003727876.1	chrUn_AAEX03024504	AAEX03024504.1	AAEX03024504.1
AAEX03024505.1	NW_003727877.1	chrUn_AAEX03024505	AAEX03024505.1	AAEX03024505.1
AAEX03024506.1	NW_003727878.1	chrUn_AAEX03024506	AAEX03024506.1	AAEX03024506.1
AAEX03024507.1	NW_003727879.1	chrUn_AAEX03024507	AAEX03024507.1	AAEX03024507.1
AAEX03024508.1	NW_003727880.1	chrUn_AAEX03024508	AAEX03024508.1	AAEX03024508.1
AAEX03024509.1	NW_003727881.1	chrUn_AAEX03024509	AAEX03024509.1	AAEX03024509.1
AAEX03024510.1	NW_003727882.1	chrUn_AAEX03024510	AAEX03024510.1	AAEX03024510.1
AAEX03024511.1	NW_003727883.1	chrUn_AAEX03024511	AAEX03024511.1	AAEX03024511.1
AAEX03024512.1	NW_003727884.1	chrUn_AAEX03024512	AAEX03024512.1	AAEX03024512.1
AAEX03024513.1	NW_003727885.1	chrUn_AAEX03024513	AAEX03024513.1	AAEX03024513.1
AAEX03024514.1	NW_003727886.1	chrUn_AAEX03024514	AAEX03024514.1	AAEX03024514.1
AAEX03024515.1	NW_003727887.1	chrUn_AAEX03024515	AAEX03024515.1	AAEX03024515.1
AAEX03024516.1	NW_003727888.1	chrUn_AAEX03024516	AAEX03024516.1	AAEX03024516.1
AAEX03024517.1	NW_003727889.1	chrUn_AAEX03024517	AAEX03024517.1	AAEX03024517.1
AAEX03024518.1	NW_003727890.1	chrUn_AAEX03024518	AAEX03024518.1	AAEX03024518.1
AAEX03024522.1	NW_003727892.1	chrUn_AAEX03024522	AAEX03024522.1	AAEX03024522.1
AAEX03024523.1	NW_003727893.1	chrUn_AAEX03024523	AAEX03024523.1	AAEX03024523.1
AAEX03024524.1	NW_003727894.1	chrUn_AAEX03024524	AAEX03024524.1	AAEX03024524.1
AAEX03024525.1	NW_003727895.1	chrUn_AAEX03024525	AAEX03024525.1	AAEX03024525.1
AAEX03024526.1	NW_003727896.1	chrUn_AAEX03024526	AAEX03024526.1	AAEX03024526.1
AAEX03024527.1	NW_003727897.1	chrUn_AAEX03024527	AAEX03024527.1	AAEX03024527.1
AAEX03024528.1	NW_003727898.1	chrUn_AAEX03024528	AAEX03024528.1	AAEX03024528.1
AAEX03024529.1	NW_003727899.1	chrUn_AAEX03024529	AAEX03024529.1	AAEX03024529.1
AAEX03024530.1	NW_003727900.1	chrUn_AAEX03024530	AAEX03024530.1	AAEX03024530.1
AAEX03024531.1	NW_003727901.1	chrUn_AAEX03024531	AAEX03024531.1	AAEX03024531.1
AAEX03024532.1	NW_003727902.1	chrUn_AAEX03024532	AAEX03024532.1	AAEX03024532.1
AAEX03024533.1	NW_003727903.1	chrUn_AAEX03024533	AAEX03024533.1	AAEX03024533.1
AAEX03024534.1	NW_003727904.1	chrUn_AAEX03024534	AAEX03024534.1	AAEX03024534.1
AAEX03024535.1	NW_003727905.1	chrUn_AAEX03024535	AAEX03024535.1	AAEX03024535.1
AAEX03024536.1	NW_003727906.1	chrUn_AAEX03024536	AAEX03024536.1	AAEX03024536.1
AAEX03024537.1	NW_003727907.1	chrUn_AAEX03024537	AAEX03024537.1	AAEX03024537.1
AAEX03024538.1	NW_003727908.1	chrUn_AAEX03024538	AAEX03024538.1	AAEX03024538.1
AAEX03024539.1	NW_003727909.1	chrUn_AAEX03024539	AAEX03024539.1	AAEX03024539.1
AAEX03024540.1	NW_003727910.1	chrUn_AAEX03024540	AAEX03024540.1	AAEX03024540.1
AAEX03024541.1	NW_003727911.1	chrUn_AAEX03024541	AAEX03024541.1	AAEX03024541.1
AAEX03024542.1	NW_003727912.1	chrUn_AAEX03024542	AAEX03024542.1	AAEX03024542.1
AAEX03024543.1	NW_003727913.1	chrUn_AAEX03024543	AAEX03024543.1	AAEX03024543.1
AAEX03024544.1	NW_003727914.1	chrUn_AAEX03024544	AAEX03024544.1	AAEX03024544.1
AAEX03024545.1	NW_003727915.1	chrUn_AAEX03024545	AAEX03024545.1	AAEX03024545.1
AAEX03024546.1	NW_003727916.1	chrUn_AAEX03024546	AAEX03024546.1	AAEX03024546.1
AAEX03024547.1	NW_003727917.1	chrUn_AAEX03024547	AAEX03024547.1	AAEX03024547.1
